company,country,sector
K2A Knaust & Andersson,Sweden,Real Estate
K-Fast Holding,Sweden,Real Estate
KABE Group,Sweden,Consumer Discretionary
Karnell Group,Sweden,Industrials
Karnov Group,Sweden,Industrials
KDventures,Sweden,Health Care
Keo Capital,Sweden,Energy
Kinnevik,Sweden,Financials
KlaraBo Sverige,Sweden,Real Estate
Lammhults Design Group,Sweden,Consumer Discretionary
Latour,Sweden,Financials
Lifco,Sweden,Industrials
Linc,Sweden,Financials
Lindab International,Sweden,Industrials
Linjemontage i Grästorp,Sweden,Industrials
Logistea,Sweden,Real Estate
Loomis,Sweden,Industrials
Lundbergföretagen,Sweden,Financials
Malmbergs Elektriska,Sweden,Industrials
Mangold,Sweden,Financials
MedCap,Sweden,Health Care
Medicover,Sweden,Health Care
Medivir,Sweden,Health Care
MEKO,Sweden,Consumer Discretionary
Mendus,Sweden,Health Care
Midsona,Sweden,Consumer Staples
Mildef Group,Sweden,Industrials
Mips,Sweden,Consumer Discretionary
Moberg Pharma,Sweden,Health Care
Modern Times Group,Sweden,Consumer Discretionary
Moment Group,Sweden,Consumer Discretionary
Momentum Group,Sweden,Industrials
Morrow Bank,Sweden,Financials
Munters Group,Sweden,Industrials
Nanologica,Sweden,Health Care
NAXS,Sweden,Financials
NCC,Sweden,Industrials
Nederman Holding,Sweden,Industrials
Nelly Group,Sweden,Consumer Discretionary
Neobo Fastigheter,Sweden,Real Estate
Net Insight,Sweden,Telecommunications
Netel Holding,Sweden,Industrials
New Wave,Sweden,Consumer Discretionary
NIBE Industrier,Sweden,Industrials
Nivika Fastigheter,Sweden,Real Estate
NOBA Bank Group,Sweden,Financials
Nobia,Sweden,Consumer Discretionary
Nolato,Sweden,Industrials
Nordisk Bergteknik,Sweden,Basic Materials
Nordnet,Sweden,Financials
Norion Bank,Sweden,Financials
NP3 Fastigheter,Sweden,Real Estate
OEM International,Sweden,Industrials
Oncopeptides,Sweden,Health Care
Orexo,Sweden,Health Care
Orrön Energy,Sweden,Energy
Ovzon,Sweden,Telecommunications
Pandox,Sweden,Real Estate
Paradox Interactive,Sweden,Consumer Discretionary
Peab,Sweden,Industrials
Pierce Group,Sweden,Consumer Discretionary
PION Group,Sweden,Industrials
Platzer Fastigheter Holding,Sweden,Real Estate
PowerCell Sweden,Sweden,Industrials
PPI Public Property Invest,Sweden,Real Estate
Prisma Properties,Sweden,Real Estate
Profilgruppen,Sweden,Basic Materials
Profoto Holding,Sweden,Consumer Discretionary
Q-Linea,Sweden,Health Care
Qliro,Sweden,Financials
Railcare Group,Sweden,Industrials
Ratos,Sweden,Financials
RaySearch Laboratories,Sweden,Health Care
Rejlers,Sweden,Industrials
Rottneros,Sweden,Basic Materials
Rusta,Sweden,Consumer Discretionary
RVRC Holding,Sweden,Consumer Discretionary
Röko,Sweden,Financials
SAAB,Sweden,Industrials
Sagax,Sweden,Real Estate
Salix Group,Sweden,Industrials
Samhällsbyggnadsbo. i Norden,Sweden,Real Estate
Sandvik,Sweden,Industrials
Saniona,Sweden,Health Care
SCA,Sweden,Basic Materials
Scandi Standard,Sweden,Consumer Staples
Scandic Hotels Group,Sweden,Consumer Discretionary
Sdiptech,Sweden,Industrials
Seafire,Sweden,Financials
SEB,Sweden,Financials
SECTRA,Sweden,Health Care
Securitas,Sweden,Industrials
Sedana Medical,Sweden,Health Care
Senzime,Sweden,Health Care
SinterCast,Sweden,Industrials
Skanska,Sweden,Industrials
SKF,Sweden,Basic Materials
SkiStar,Sweden,Consumer Discretionary
Solid Försäkringsaktiebolag,Sweden,Financials
SSAB,Sweden,Basic Materials
Starbreeze,Sweden,Consumer Discretionary
Stendörren Fastigheter,Sweden,Real Estate
Stenhus Fastigheter i Norden,Sweden,Real Estate
Stillfront Group,Sweden,Consumer Discretionary
Stockwik,Sweden,Financials
Storskogen Group,Sweden,Financials
Storytel,Sweden,Consumer Discretionary
Studsvik,Sweden,Industrials
Sv. Handelsbanken,Sweden,Financials
Sveafastigheter,Sweden,Real Estate
Svedbergs Group,Sweden,Industrials
Svolder,Sweden,Financials
SWECO,Sweden,Industrials
Swedbank,Sweden,Financials
Swedish Logistic Property,Sweden,Real Estate
Swedish Orphan Biovitrum,Sweden,Health Care
SynAct Pharma,Sweden,Health Care
Synsam,Sweden,Consumer Discretionary
Systemair,Sweden,Industrials
Tele2,Sweden,Telecommunications
Telia Company,Sweden,Telecommunications
Thule Group,Sweden,Consumer Discretionary
Traction,Sweden,Financials
Transtema Group,Sweden,Telecommunications
Trelleborg,Sweden,Industrials
Trianon,Sweden,Real Estate
Troax Group,Sweden,Basic Materials
Tången Industrikapital,Sweden,Financials
VBG GROUP,Sweden,Consumer Discretionary
VEF,Sweden,Financials
Viaplay Group,Sweden,Telecommunications
Vicore Pharma Holding,Sweden,Health Care
Vimian Group,Sweden,Health Care
Vitrolife,Sweden,Health Care
Vivesto,Sweden,Health Care
VNV Global,Sweden,Financials
Volati,Sweden,Industrials
Volvo,Sweden,Industrials
Volvo Car,Sweden,Consumer Discretionary
Wall to Wall Group,Sweden,Industrials
Wallenstam,Sweden,Real Estate
Wihlborgs Fastigheter,Sweden,Real Estate
Wise Group,Sweden,Industrials
Wästbygg Gruppen,Sweden,Industrials
XANO Industri,Sweden,Industrials
Xbrane Biopharma,Sweden,Health Care
Xspray Pharma,Sweden,Health Care
Xvivo Perfusion,Sweden,Health Care
Öresund,Sweden,Financials
