company,country,segment,sector
LANXESS AG,Germany,Prime Standard,Chemicals
LEG IMMOBILIEN SE,Germany,Prime Standard,Financial Services
LEIFHEIT AG,Germany,Prime Standard,Consumer
LPKF LASER & ELECTRONICS SE,Germany,Prime Standard,Industrial
LUFTHANSA AG VNA,Germany,Prime Standard,Transportation & Logistics
MASTERFLEX,Germany,Prime Standard,Industrial
MBB SE,Germany,Prime Standard,Industrial
MEDICLIN AG,Germany,Prime Standard,Pharma & Healthcare
MEDIOS AG,Germany,Prime Standard,Pharma & Healthcare
MERCEDES BENZ GROUP AG,Germany,Prime Standard,Automobile
MERCK KGAA,Germany,Prime Standard,Pharma & Healthcare
MISTER SPEX SE,Germany,Prime Standard,Retail
MLP SE,Germany,Prime Standard,Financial Services
MTU AERO ENGINES,Germany,Prime Standard,Industrial
MUENCHENER RUECKVERSICHERUNGS-GESELLSCHAFT (MUNICH RE),Germany,Prime Standard,Insurance
MUTARES KGAA,Germany,Prime Standard,Financial Services
MVV ENERGIE AG,Germany,Prime Standard,Utilities
NFON AG,Germany,Prime Standard,Telecommunication
NORDEX SE,Germany,Prime Standard,Industrial
NORMA GROUP SE,Germany,Prime Standard,Industrial
OHB SE,Germany,Prime Standard,Technology
Ottobock SE & Co. KGaA,Germany,Prime Standard,Pharma & Healthcare
OVB HOLDING AG,Germany,Prime Standard,Financial Services
PARAGON KGAA,Germany,Prime Standard,Automobile
PATRIZIA SE,Germany,Prime Standard,Financial Services
Pentixapharm Holding AG,Germany,Prime Standard,Pharma & Healthcare
PNE AG,Germany,Prime Standard,Industrial
Porsche AG Vz,Germany,Prime Standard,Automobile
PROCREDIT HOLDING AG EO 5,Germany,Prime Standard,Banks
PROSIEBENSAT.1 MEDIA SE,Germany,Prime Standard,Media
PUMA SE,Germany,Prime Standard,Consumer
PVA TEPLA AG,Germany,Prime Standard,Industrial
PWO AG,Germany,Prime Standard,Automobile
R. STAHL AG,Germany,Prime Standard,Industrial
RATIONAL AG,Germany,Prime Standard,Industrial
RENK GROUP AG,Germany,Prime Standard,Industrial
RHEINMETALL AG,Germany,Prime Standard,Industrial
RHOEN-KLINIKUM,Germany,Prime Standard,Pharma & Healthcare
RWE AG,Germany,Prime Standard,Utilities
SAF HOLLAND SE EO 1,Germany,Prime Standard,Automobile
SALZGITTER AG,Germany,Prime Standard,Basic Resources
SARTORIUS AG,Germany,Prime Standard,Pharma & Healthcare
SCHAEFFLER AG,Germany,Prime Standard,Automobile
SCHOTT Pharma AG & Co. KGaA,Germany,Prime Standard,Pharma & Healthcare
SCOUT24 AG,Germany,Prime Standard,Retail
SFC ENERGY AG,Germany,Prime Standard,Industrial
SGL CARBON SE,Germany,Prime Standard,Chemicals
SIEMENS AG,Germany,Prime Standard,Industrial
SIEMENS ENERGY AG,Germany,Prime Standard,Industrial
SIEMENS HEALTHINEERS AG,Germany,Prime Standard,Pharma & Healthcare
SILTRONIC AG,Germany,Prime Standard,Technology
SIXT SE,Germany,Prime Standard,Transportation & Logistics
SMA SOLAR TECHNOLOGY AG,Germany,Prime Standard,Industrial
SMT Scharf AG,Germany,Prime Standard,Industrial
Springer Nature AG & Co. KGaA,Germany,Prime Standard,Media
"STABILUS SE INH. EO-,01",Germany,Prime Standard,Industrial
STRATEC SE,Germany,Prime Standard,Pharma & Healthcare
STROEER SE & CO. KGAA,Germany,Prime Standard,Media
SUEDZUCKER AG,Germany,Prime Standard,Food & Beverages
SURTECO GROUP SE,Germany,Prime Standard,Consumer
SUSS MicroTec SE,Germany,Prime Standard,Technology
SYMRISE AG,Germany,Prime Standard,Chemicals
SYZYGY AG,Germany,Prime Standard,Media
TAG IMMOBILIEN AG,Germany,Prime Standard,Financial Services
TAKKT AG,Germany,Prime Standard,Industrial
TALANX AG,Germany,Prime Standard,Insurance
TECHNOTRANS SE,Germany,Prime Standard,Industrial
THYSSENKRUPP AG,Germany,Prime Standard,Industrial
THYSSENKRUPP NUCERA AG & KGAA,Germany,Prime Standard,Industrial
TKMS AG & CO. KGAA,Germany,Prime Standard,Industrial
TRATON SE,Germany,Prime Standard,Industrial
TUI AG,Germany,Prime Standard,Consumer
UNIPER SE,Germany,Prime Standard,Utilities
UNITED LABELS,Germany,Prime Standard,Retail
UNITED INTERNET AG,Germany,Prime Standard,Telecommunication
VERBIO SE,Germany,Prime Standard,Industrial
VILLEROY & BOCH AG,Germany,Prime Standard,Consumer
Vincorion SE,Germany,Prime Standard,Industrial
VISCOM SE,Germany,Prime Standard,Industrial
VOLKSWAGEN AG,Germany,Prime Standard,Automobile
Voltatron AG,Germany,Prime Standard,Industrial
VONOVIA SE,Germany,Prime Standard,Financial Services
VOSSLOH AG,Germany,Prime Standard,Construction
WACKER CHEMIE AG,Germany,Prime Standard,Chemicals
WACKER NEUSON SE,Germany,Prime Standard,Industrial
WASHTEC AG,Germany,Prime Standard,Industrial
WESTWING GROUP,Germany,Prime Standard,Retail
WUESTENROT & WUERTTEMBERGISCHE AG,Germany,Prime Standard,Insurance
ZALANDO SE,Germany,Prime Standard,Retail
ZEAL NETWORK SE,Germany,Prime Standard,Retail
Electrovac AG,Germany,Prime Standard,Industrial
2INVEST AG,Germany,General Standard,Pharma & Healthcare
7C SOLARPARKEN AG,Germany,General Standard,Industrial
A.I.S. AG,Germany,General Standard,Industrial
AAP IMPLANTATE AG,Germany,General Standard,Pharma & Healthcare
ACCENTRO REAL ESTATE AG,Germany,General Standard,Financial Services
ADTRAN NETWORKS SE,Germany,General Standard,Technology
ALBIS LEASING AG,Germany,General Standard,Financial Services
ALTECH ADVANCED MATERIALS,Germany,General Standard,Basic resources
BERENTZEN-GRUPPE AG,Germany,General Standard,Food & Beverages
BIJOU BRIGITTE,Germany,General Standard,Retail
CAMERIT AG,Germany,General Standard,Financial Services
CAPSENSIXX AG,Germany,General Standard,Financial Services
CO.DON AG,Germany,General Standard,Pharma & Healthcare
Nexum Group AG,Germany,General Standard,Financial Services
DEUTSCHE REAL ESTATE AG,Germany,General Standard,Financial Services
DEUTSCHE WOHNEN SE,Germany,General Standard,Financial Services
DF DEUTSCHE FORFAIT AG,Germany,General Standard,Financial Services
DIERIG HOLDING AG,Germany,General Standard,Consumer
EISEN- UND HUETTENWERKE,Germany,General Standard,Basic Resources
ENAPTER AG,Germany,General Standard,Industrial
ENBW ENERGIE BADEN-WUERTTEMBERG,Germany,General Standard,Utilities
ENERGIEKONTOR,Germany,General Standard,Industrial
EPIGENOMICS AG,Germany,General Standard,Pharma & Healthcare
FAIR VALUE REIT-AG,Germany,General Standard,Financial Services
FORIS AG,Germany,General Standard,Financial Services
FRIWO AG,Germany,General Standard,Industrial
GELSENWASSER AG,Germany,General Standard,Utilities
GIGASET AG,Germany,General Standard,Technology
HEIDELBERGER BETEILIGUNGSHOLDING,Germany,General Standard,Financial Services
INFAS HOLDING AG,Germany,General Standard,Industrial
INTERTAINMENT AG,Germany,General Standard,Media
KAP AG,Germany,General Standard,Industrial
KHD HUMBOLDT WEDAG,Germany,General Standard,Industrial
KHD HUMBOLDT WEDAG VV,Germany,General Standard,Industrial
Leo International Precision Health AG,Germany,General Standard,Financial Services
LIBERO FOOTBALL FINANCE AG,Germany,General Standard,Financial Services
MAINOVA AG,Germany,General Standard,Utilities
MASCHINENFABRIK BERTHOLD HERMLE,Germany,General Standard,Industrial
MATERNUS-KLINIKEN AG,Germany,General Standard,Pharma & Healthcare
MAX AUTOMATION SE,Germany,General Standard,Industrial
META WOLF AG,Germany,General Standard,Construction
MING LE SPORTS AG,Germany,General Standard,Consumer
MUELLER-DIE LILA LOGISTIK SE,Germany,General Standard,Transportation & Logistics
NAKIKI SE,Germany,General Standard,Financial services
NEXR TECHNOLOGIES SE,Germany,General Standard,Media
NORDWEST HANDEL AG,Germany,General Standard,Industrial
PAION,Germany,General Standard,Pharma & Healthcare
United Eco Solutions AG,Germany,General Standard,Technology
Path2 Hydrogen AG,Germany,General Standard,Financial services
PEARL GOLD AG,Germany,General Standard,Basic resources
PFEIFFER VACUUM TECH. AG,Germany,General Standard,Industrial
PFERDEWETTEN.DE AG,Germany,General Standard,Consumer
PITTLER MASCHINENFABRIK AG,Germany,General Standard,Industrial
Planoptik AG,Germany,General Standard,Industrial
PORSCHE AUTOMOBIL HOLDING,Germany,General Standard,Automobile
READCREST CAPITAL AG,Germany,General Standard,Media
RINGMETALL SE,Germany,General Standard,Industrial
Rostra AG,Germany,General Standard,Financial Services
SCHLOSS WACHENHEIM AG,Germany,General Standard,Food & Beverages
SCHWEIZER ELECTRONIC,Germany,General Standard,Technology
SIMONA AG,Germany,General Standard,Chemicals
SINO-GERMAN UNITED AG,Germany,General Standard,Industrial
STO SE & CO. KGAA,Germany,General Standard,Construction
STS GROUP AG,Germany,General Standard,Automobile
TC UNTERHALTUNGSELEKTRONIK,Germany,General Standard,Consumer
THE SOCIAL CHAIN AG,Germany,General Standard,Media
TTL BETEILIGUNGS- UND GRUNDBESITZ AG,Germany,General Standard,Financial Services
UZIN UTZ SE,Germany,General Standard,Construction
WASGAU PRODUKTIONS & HANDELS,Germany,General Standard,Food & Beverages
WEBAC HOLDING AG,Germany,General Standard,Financial Services
WILD BUNCH AG,Germany,General Standard,Media
YOUR FAMILY ENTERTAINMENT AG,Germany,General Standard,Media
SINGULUS TECHNOL. EO 1,Germany,General Standard,Industrial
COVESTRO AG,Germany,General Standard,Chemicals
HELIOS SOLAR AG,Germany,General Standard,Industrial
2G ENERGY AG,Germany,Scale,Industrial
A.S. CREATION TAPETEN AG,Germany,Scale,Consumer
BLUE CAP,Germany,Scale,Industrial
CANTOURAGE GROUP SE,Germany,Scale,Pharma & Healthcare
DALDRUP & SOEHNE AG,Germany,Scale,Industrial
DATRON AG,Germany,Scale,Industrial
DELIGNIT AG,Germany,Scale,Industrial
DEUTSCHE ROHSTOFF AG,Germany,Scale,Basic Resources
ERNST RUSS AG,Germany,Scale,Financial Services
FAMICORD AG,Germany,Scale,Pharma & Healthcare
GATEWAY REAL ESTATE AG,Germany,Scale,Financial Services
Gabler Group SE,Germany,Scale,Industrial
H & R KGAA,Germany,Scale,Chemicals
IBU-TEC ADVANCED MATERIALS,Germany,Scale,Industrial
JDC GROUP AG,Germany,Scale,Financial Services
LAIQON AG,Germany,Scale,Financial Services
MPC MUENCHMEYER PETERSEN CAPITAL,Germany,Scale,Financial Services
NABALTEC AG,Germany,Scale,Chemicals
NUERNBERGER BETEILIGUNGS AG VNA,Germany,Scale,Insurance
NYNOMIC AG,Germany,Scale,Industrial
OEKOWORLD AG,Germany,Scale,Financial Services
SCP Standard Capital Partners AG,Germany,Scale,Media
PFISTERER HOLDING SE,Germany,Scale,Industrial
Planethic Group AG,Germany,Scale,Food & Beverages
PYRUM INNOVATIONS AG,Germany,Scale,Industrial
SCHERZER U. CO. AG,Germany,Scale,Financial Services
The Payments Group Holding GmbH & Co KGaA,Germany,Scale,Financial Services
The Platform Group SE & Co. KGaA,Germany,Scale,Retail
TIN INN HLDG AG VNA,Germany,Scale,Consumer
UmweltBank AG,Germany,Scale,Banks
PEH Wertpapier AG,Germany,Scale,-
ECOTEL COMMUNICATION AG,Germany,Scale,Telecommunication
FCR IMMOBILIEN AG,Germany,Scale,Financial Services
SMAG Mobile Antenna Masts AG,Germany,Scale,Industrial
